record,record_key,record_state,record_count,snapshot_date
ndxlAL.html,ndxlAL,ALABAMA,1339,2023-03-10
ndxlAK.html,ndxlAK,ALASKA,629,2023-03-10
ndxlAZ.html,ndxlAZ,ARIZONA,4796,2023-03-10
ndxlAR.html,ndxlAR,ARKANSAS,1234,2023-03-10
ndxlCA.html,ndxlCA,CALIFORNIA,15683,2023-03-10
ndxlCO.html,ndxlCO,COLORADO,3133,2023-03-10
ndxlCT.html,ndxlCT,CONNECTICUT,1953,2023-03-10
ndxlDE.html,ndxlDE,DELAWARE,402,2023-03-10
ndxlDC.html,ndxlDC,DISTRICT OF COLUMBIA,145,2023-03-10
ndxlFL.html,ndxlFL,FLORIDA,7975,2023-03-10
ndxlGA.html,ndxlGA,GEORGIA,2632,2023-03-10
ndxlHI.html,ndxlHI,HAWAII,658,2023-03-10
ndxlID.html,ndxlID,IDAHO,1318,2023-03-10
ndxlIL.html,ndxlIL,ILLINOIS,4167,2023-03-10
ndxlIN.html,ndxlIN,INDIANA,2632,2023-03-10
ndxlIA.html,ndxlIA,IOWA,1188,2023-03-10
ndxlKS.html,ndxlKS,KANSAS,1145,2023-03-10
ndxlKY.html,ndxlKY,KENTUCKY,1643,2023-03-10
ndxlLA.html,ndxlLA,LOUISIANA,1094,2023-03-10
ndxlME.html,ndxlME,MAINE,1154,2023-03-10
ndxlMD.html,ndxlMD,MARYLAND,1767,2023-03-10
ndxlMA.html,ndxlMA,MASSACHUSETTS,2602,2023-03-10
ndxlMI.html,ndxlMI,MICHIGAN,3542,2023-03-10
ndxlMN.html,ndxlMN,MINNESOTA,2050,2023-03-10
ndxlMS.html,ndxlMS,MISSISSIPPI,760,2023-03-10
ndxlMO.html,ndxlMO,MISSOURI,2729,2023-03-10
ndxlMT.html,ndxlMT,MONTANA,979,2023-03-10
ndxlNE.html,ndxlNE,NEBRASKA,676,2023-03-10
ndxlNV.html,ndxlNV,NEVADA,1641,2023-03-10
ndxlNH.html,ndxlNH,NEW HAMPSHIRE,1157,2023-03-10
ndxlNJ.html,ndxlNJ,NEW JERSEY,2803,2023-03-10
ndxlNM.html,ndxlNM,NEW MEXICO,1613,2023-03-10
ndxlNY.html,ndxlNY,NEW YORK,5697,2023-03-10
ndxlNC.html,ndxlNC,NORTH CAROLINA,3544,2023-03-10
ndxlND.html,ndxlND,NORTH DAKOTA,271,2023-03-10
ndxlOH.html,ndxlOH,OHIO,4322,2023-03-10
ndxlOK.html,ndxlOK,OKLAHOMA,1433,2023-03-10
ndxlOR.html,ndxlOR,OREGON,3452,2023-03-10
ndxlPA.html,ndxlPA,PENNSYLVANIA,4867,2023-03-10
ndxlRI.html,ndxlRI,RHODE ISLAND,588,2023-03-10
ndxlSC.html,ndxlSC,SOUTH CAROLINA,2184,2023-03-10
ndxlSD.html,ndxlSD,SOUTH DAKOTA,380,2023-03-10
ndxlTN.html,ndxlTN,TENNESSEE,2238,2023-03-10
ndxlTX.html,ndxlTX,TEXAS,5915,2023-03-10
ndxlUT.html,ndxlUT,UTAH,1467,2023-03-10
ndxlVT.html,ndxlVT,VERMONT,593,2023-03-10
ndxlVA.html,ndxlVA,VIRGINIA,2607,2023-03-10
ndxlWA.html,ndxlWA,WASHINGTON,6981,2023-03-10
ndxlWV.html,ndxlWV,WEST VIRGINIA,880,2023-03-10
ndxlWI.html,ndxlWI,WISCONSIN,2381,2023-03-10
ndxlWY.html,ndxlWY,WYOMING,400,2023-03-10
ndxlINTERNATIONAL.html,ndxlINTERNATIONAL,INTERNATIONAL,11005,2023-03-10
ndxlAB.html,ndxlAB,ALBERTA,671,2023-03-10
ndxlBC.html,ndxlBC,BRITISH COLUMBIA,1168,2023-03-10
ndxlMB.html,ndxlMB,MANITOBA,240,2023-03-10
ndxlNB.html,ndxlNB,NEW BRUNSWICK,201,2023-03-10
ndxlNF.html,ndxlNF,NEWFOUNDLAND,45,2023-03-10
ndxlNF.html,ndxlNF,NEWFOUNDLAND AND LABRADOR,45,2023-03-10
ndxlNT.html,ndxlNT,NORTHWEST TERRITORY,20,2023-03-10
ndxlNS.html,ndxlNS,NOVA SCOTIA,216,2023-03-10
ndxlON.html,ndxlON,ONTARIO,2430,2023-03-10
ndxlPE.html,ndxlPE,PRINCE EDW ISLAND,24,2023-03-10
ndxlPQ.html,ndxlPQ,PROV OF QUE,102,2023-03-10
ndxlSA.html,ndxlSA,SASKATCHEWAN,39,2023-03-10
ndxlYK.html,ndxlYK,YUKON,8,2023-03-10
